,FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,MMTPrice
175,Air India,AI 505,Bengaluru,09:50:00,New Delhi,12:35,02 h 45 m,6721
35,Vistara,UK 857,Mumbai,21:30:00,Bengaluru,23:15,01 h 45 m,6911
124,IndiGo,6E 6383,New Delhi,11:45:00,Bengaluru,14:40,02 h 55 m,7020
125,IndiGo,6E 2514,New Delhi,13:15:00,Bengaluru,16:10,02 h 55 m,7020
126,IndiGo,6E 2487,New Delhi,17:15:00,Bengaluru,20:00,02 h 45 m,7020
127,IndiGo,6E 6622,New Delhi,18:55:00,Bengaluru,21:50,02 h 55 m,7020
176,IndiGo,6E 861,Bengaluru,08:00:00,New Delhi,10:45,02 h 45 m,7142
177,IndiGo,6E 861,Bengaluru,08:00:00,New Delhi,10:45,02 h 45 m,7142
128,Air India,AI 512,New Delhi,19:15:00,Bengaluru,22:35,03 h 20 m,7183
129,Air India,AI 512,New Delhi,19:15:00,Bengaluru,22:35,03 h 20 m,7183
276,SpiceJet,SG 8191,Mumbai,21:20:00,New Delhi,23:45,02 h 25 m,7422
130,IndiGo,6E 5608,New Delhi,09:20:00,Bengaluru,12:05,02 h 45 m,7450
131,IndiGo,6E 6797,New Delhi,10:40:00,Bengaluru,13:35,02 h 55 m,7450
178,IndiGo,6E 869,Bengaluru,12:00:00,New Delhi,14:45,02 h 45 m,7457
132,Vistara,UK 819,New Delhi,14:10:00,Bengaluru,16:45,02 h 35 m,7498
179,Air India,AI 507,Bengaluru,11:45:00,New Delhi,14:35,02 h 50 m,7561
403,Vistara,UK 860,Hyderabad,07:00:00,New Delhi,08:55,01 h 55 m,7585
404,Vistara,UK 870,Hyderabad,20:35:00,New Delhi,22:45,02 h 10 m,7606
36,IndiGo,6E 2244,Mumbai,19:30:00,Bengaluru,21:15,01 h 45 m,7701
344,Air India,AI 769,Kolkata,10:00:00,New Delhi,12:20,02 h 20 m,8100
79,IndiGo,6E 5083,Bengaluru,20:40:00,Mumbai,22:20,01 h 40 m,8191
133,Air India,AI 506,New Delhi,09:40:00,Bengaluru,12:30,02 h 50 m,8233
313,Vistara,UK 705,New Delhi,07:40:00,Kolkata,09:45,02 h 05 m,8474
134,Vistara,UK 809,New Delhi,19:50:00,Bengaluru,22:40,02 h 50 m,8495
135,Vistara,UK 809,New Delhi,19:50:00,Bengaluru,22:40,02 h 50 m,8495
180,Vistara,UK 810,Bengaluru,07:00:00,New Delhi,09:40,02 h 40 m,8926
80,Vistara,UK 866,Bengaluru,06:40:00,Mumbai,08:20,01 h 40 m,9346
81,Vistara,UK 852,Bengaluru,09:30:00,Mumbai,11:25,01 h 55 m,9346
82,Vistara,UK 854,Bengaluru,18:25:00,Mumbai,20:15,01 h 50 m,9346
83,Vistara,UK 854,Bengaluru,18:25:00,Mumbai,20:15,01 h 50 m,9346
37,Air India,AI 603,Mumbai,06:45:00,Bengaluru,08:40,01 h 55 m,9458
84,IndiGo,6E 259,Bengaluru,08:30:00,Mumbai,10:10,01 h 40 m,9490
314,Vistara,UK 727,New Delhi,20:30:00,Kolkata,22:20,01 h 50 m,10469
277,Vistara,UK 928,Mumbai,06:30:00,New Delhi,08:35,02 h 05 m,10539
278,Vistara,UK 952,Mumbai,12:50:00,New Delhi,14:45,01 h 55 m,10539
279,Vistara,UK 944,Mumbai,14:40:00,New Delhi,16:55,02 h 15 m,10539
280,Vistara,UK 944,Mumbai,14:40:00,New Delhi,16:55,02 h 15 m,10539
281,Vistara,UK 902,Mumbai,15:45:00,New Delhi,18:10,02 h 25 m,10539
282,Vistara,UK 910,Mumbai,17:25:00,New Delhi,19:35,02 h 10 m,10539
283,Vistara,UK 996,Mumbai,18:30:00,New Delhi,20:40,02 h 10 m,10539
284,Vistara,UK 950,Mumbai,21:55:00,New Delhi,"00:10
+ 1 DAY",02 h 15 m,10539
285,Vistara,UK 986,Mumbai,22:50:00,New Delhi,"01:00
+ 1 DAY",02 h 10 m,10539
181,Air India,AI 808,Bengaluru,21:00:00,New Delhi,23:55,02 h 55 m,10711
182,Vistara,UK 816,Bengaluru,11:30:00,New Delhi,14:10,02 h 40 m,10774
183,Vistara,UK 816,Bengaluru,11:30:00,New Delhi,14:10,02 h 40 m,10774
85,Vistara,UK 846,Bengaluru,08:30:00,Mumbai,10:10,01 h 40 m,11038
86,Vistara,UK 840,Bengaluru,21:35:00,Mumbai,23:20,01 h 45 m,11038
38,Vistara,UK 863,Mumbai,09:05:00,Bengaluru,10:50,01 h 45 m,11521
39,Vistara,UK 863,Mumbai,09:05:00,Bengaluru,10:50,01 h 45 m,11521
345,IndiGo,6E 2516,Kolkata,16:45:00,New Delhi,19:05,02 h 20 m,11820
87,Vistara,UK 850,Bengaluru,19:55:00,Mumbai,21:35,01 h 40 m,11934
184,IndiGo,6E 2339,Bengaluru,00:30:00,New Delhi,03:20,02 h 50 m,12445
136,Vistara,UK 815,New Delhi,08:00:00,Bengaluru,10:50,02 h 50 m,13021
137,Vistara,UK 801,New Delhi,09:10:00,Bengaluru,11:50,02 h 40 m,13021
138,Vistara,UK 807,New Delhi,20:40:00,Bengaluru,23:20,02 h 40 m,13021
185,Vistara,UK 808,Bengaluru,08:00:00,New Delhi,10:35,02 h 35 m,13399
40,IndiGo,6E 5296,Mumbai,07:00:00,Bengaluru,08:40,01 h 40 m,13801
41,IndiGo,6E 5211,Mumbai,08:30:00,Bengaluru,10:25,01 h 55 m,13801
42,IndiGo,6E 5212,Mumbai,09:50:00,Bengaluru,11:35,01 h 45 m,13801
43,Vistara,UK 851,Mumbai,07:00:00,Bengaluru,08:50,01 h 50 m,14183
88,Vistara,UK 864,Bengaluru,19:00:00,Mumbai,20:35,01 h 35 m,14596
89,Vistara,UK 864,Bengaluru,19:00:00,Mumbai,20:35,01 h 35 m,14596
315,IndiGo,6E 5213,New Delhi,09:00:00,Kolkata,11:05,02 h 05 m,15298
44,Air India,AI 639,Mumbai,09:20:00,Bengaluru,11:10,01 h 50 m,17018
90,Air India,AI 642,Bengaluru,21:25:00,Mumbai,23:20,01 h 55 m,20581
