,FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,MMTPrice
198,IndiGo,6E 5112,New Delhi,09:00:00,Mumbai,10:55,01 h 55 m,4780
199,IndiGo,6E 2328,New Delhi,10:00:00,Mumbai,12:15,02 h 15 m,4780
200,IndiGo,6E 2328,New Delhi,10:00:00,Mumbai,12:15,02 h 15 m,4780
201,Air India,AI 865,New Delhi,10:00:00,Mumbai,12:30,02 h 30 m,4780
202,IndiGo,6E 824,New Delhi,11:00:00,Mumbai,13:00,02 h,4780
203,IndiGo,6E 824,New Delhi,11:00:00,Mumbai,13:00,02 h,4780
204,SpiceJet,SG 157,New Delhi,12:10:00,Mumbai,14:35,02 h 25 m,4780
205,IndiGo,6E 6092,New Delhi,12:55:00,Mumbai,15:05,02 h 10 m,4780
206,IndiGo,6E 6092,New Delhi,12:55:00,Mumbai,15:05,02 h 10 m,4780
207,Air India,AI 620,New Delhi,13:30:00,Mumbai,15:40,02 h 10 m,4780
208,Air India,AI 863,New Delhi,14:00:00,Mumbai,16:20,02 h 20 m,4780
209,IndiGo,6E 2176,New Delhi,14:20:00,Mumbai,16:30,02 h 10 m,4780
210,IndiGo,6E 2016,New Delhi,15:45:00,Mumbai,18:00,02 h 15 m,4780
211,IndiGo,6E 5197,New Delhi,16:30:00,Mumbai,18:40,02 h 10 m,4780
212,IndiGo,6E 5197,New Delhi,16:30:00,Mumbai,18:40,02 h 10 m,4780
213,Air India,AI 441,New Delhi,17:15:00,Mumbai,19:30,02 h 15 m,4780
214,IndiGo,6E 864,New Delhi,17:30:00,Mumbai,19:40,02 h 10 m,4780
215,IndiGo,6E 2017,New Delhi,18:30:00,Mumbai,20:35,02 h 05 m,4780
216,SpiceJet,SG 8709,New Delhi,18:55:00,Mumbai,21:25,02 h 30 m,4780
217,IndiGo,6E 2084,New Delhi,19:45:00,Mumbai,22:00,02 h 15 m,4780
218,IndiGo,6E 2084,New Delhi,19:45:00,Mumbai,22:00,02 h 15 m,4780
219,Air India,AI 805,New Delhi,20:00:00,Mumbai,22:10,02 h 10 m,4780
220,IndiGo,6E 6424,New Delhi,20:15:00,Mumbai,22:45,02 h 30 m,4780
221,IndiGo,6E 6083,New Delhi,21:00:00,Mumbai,23:05,02 h 05 m,4780
222,IndiGo,6E 2114,New Delhi,22:00:00,Mumbai,"00:05
+ 1 DAY",02 h 05 m,4780
223,Air India,AI 814,New Delhi,22:30:00,Mumbai,"00:45
+ 1 DAY",02 h 15 m,4780
224,Air India,AI 814,New Delhi,22:30:00,Mumbai,"00:45
+ 1 DAY",02 h 15 m,4780
225,IndiGo,6E 2519,New Delhi,23:15:00,Mumbai,"01:20
+ 1 DAY",02 h 05 m,4780
369,Vistara,UK 879,New Delhi,17:35:00,Hyderabad,19:50,02 h 15 m,4873
226,Vistara,UK 951,New Delhi,14:20:00,Mumbai,16:25,02 h 05 m,4880
67,AirAsia,I5 2991,Bengaluru,21:25:00,Mumbai,23:10,01 h 45 m,4899
68,IndiGo,6E 488,Bengaluru,10:15:00,Mumbai,11:55,01 h 40 m,4900
69,IndiGo,6E 5134,Bengaluru,13:45:00,Mumbai,15:20,01 h 35 m,4900
370,Vistara,UK 859,New Delhi,10:25:00,Hyderabad,12:35,02 h 10 m,4904
371,Vistara,UK 899,New Delhi,14:45:00,Hyderabad,17:00,02 h 15 m,4925
372,Vistara,UK 899,New Delhi,14:45:00,Hyderabad,17:00,02 h 15 m,4925
227,Vistara,UK 995,New Delhi,10:20:00,Mumbai,12:35,02 h 15 m,4933
376,Akasa Air,QP 1407,Hyderabad,19:25:00,New Delhi,21:45,02 h 20 m,4979
373,SpiceJet,SG 8164,New Delhi,23:00:00,Hyderabad,"01:00
+ 1 DAY",02 h,4981
377,IndiGo,6E 379,Hyderabad,05:05:00,New Delhi,07:25,02 h 20 m,4986
378,IndiGo,6E 491,Hyderabad,09:30:00,New Delhi,11:50,02 h 20 m,4986
379,IndiGo,6E 2171,Hyderabad,11:55:00,New Delhi,14:05,02 h 10 m,4986
380,IndiGo,6E 2063,Hyderabad,14:25:00,New Delhi,16:45,02 h 20 m,4986
381,IndiGo,6E 2063,Hyderabad,14:25:00,New Delhi,16:45,02 h 20 m,4986
382,IndiGo,6E 2063,Hyderabad,14:25:00,New Delhi,16:45,02 h 20 m,4986
383,IndiGo,6E 2003,Hyderabad,18:15:00,New Delhi,20:30,02 h 15 m,4986
384,IndiGo,6E 2003,Hyderabad,18:15:00,New Delhi,20:30,02 h 15 m,4986
385,IndiGo,6E 5605,Hyderabad,21:55:00,New Delhi,"00:05
+ 1 DAY",02 h 10 m,4986
386,IndiGo,6E 6146,Hyderabad,22:45:00,New Delhi,"01:00
+ 1 DAY",02 h 15 m,4986
228,Vistara,UK 963,New Delhi,09:00:00,Mumbai,11:15,02 h 15 m,5038
229,Vistara,UK 993,New Delhi,12:50:00,Mumbai,15:00,02 h 10 m,5038
230,Vistara,UK 993,New Delhi,12:50:00,Mumbai,15:00,02 h 10 m,5038
26,Akasa Air,QP 1625,Mumbai,13:35:00,Bengaluru,15:10,01 h 35 m,5039
27,Akasa Air,QP 1625,Mumbai,13:35:00,Bengaluru,15:10,01 h 35 m,5039
231,SpiceJet,SG 8192,New Delhi,18:20:00,Mumbai,20:45,02 h 25 m,5042
387,Air India,AI 543,Hyderabad,10:05:00,New Delhi,12:30,02 h 25 m,5052
70,Akasa Air,QP 1136,Bengaluru,06:25:00,Mumbai,07:55,01 h 30 m,5149
71,Akasa Air,QP 1136,Bengaluru,06:25:00,Mumbai,07:55,01 h 30 m,5149
269,IndiGo,6E 6082,Mumbai,18:00:00,New Delhi,20:00,02 h,5184
388,IndiGo,6E 2011,Hyderabad,06:45:00,New Delhi,09:00,02 h 15 m,5210
389,IndiGo,6E 2342,Hyderabad,08:40:00,New Delhi,10:45,02 h 05 m,5210
390,IndiGo,6E 2342,Hyderabad,08:40:00,New Delhi,10:45,02 h 05 m,5210
391,IndiGo,6E 6606,Hyderabad,16:30:00,New Delhi,18:50,02 h 20 m,5210
91,Akasa Air,QP 1409,New Delhi,23:00:00,Bengaluru,"01:45
+ 1 DAY",02 h 45 m,5230
92,AirAsia,I5 740,New Delhi,07:50:00,Bengaluru,10:40,02 h 50 m,5235
93,AirAsia,I5 1534,New Delhi,22:55:00,Bengaluru,"01:35
+ 1 DAY",02 h 40 m,5235
94,IndiGo,6E 2067,New Delhi,03:55:00,Bengaluru,06:45,02 h 50 m,5236
95,IndiGo,6E 6612,New Delhi,05:50:00,Bengaluru,08:35,02 h 45 m,5236
96,IndiGo,6E 6612,New Delhi,05:50:00,Bengaluru,08:35,02 h 45 m,5236
97,IndiGo,6E 6612,New Delhi,05:50:00,Bengaluru,08:35,02 h 45 m,5236
98,IndiGo,6E 2403,New Delhi,07:05:00,Bengaluru,09:50,02 h 45 m,5236
99,IndiGo,6E 2403,New Delhi,07:05:00,Bengaluru,09:50,02 h 45 m,5236
100,IndiGo,6E 308,New Delhi,08:00:00,Bengaluru,11:00,03 h,5236
101,IndiGo,6E 2131,New Delhi,21:45:00,Bengaluru,"00:35
+ 1 DAY",02 h 50 m,5236
102,IndiGo,6E 6565,New Delhi,22:55:00,Bengaluru,"01:40
+ 1 DAY",02 h 45 m,5236
72,IndiGo,6E 5207,Bengaluru,07:05:00,Mumbai,08:55,01 h 50 m,5240
103,Air India,AI 514,New Delhi,03:30:00,Bengaluru,06:25,02 h 55 m,5240
104,Air India,AI 803,New Delhi,06:10:00,Bengaluru,09:00,02 h 50 m,5240
105,Air India,AI 803,New Delhi,06:10:00,Bengaluru,09:00,02 h 50 m,5240
106,Air India,AI 504,New Delhi,21:10:00,Bengaluru,"00:05
+ 1 DAY",02 h 55 m,5240
270,Air India,AI 660,Mumbai,18:15:00,New Delhi,20:15,02 h,5281
107,SpiceJet,SG 534,New Delhi,21:35:00,Bengaluru,"00:10
+ 1 DAY",02 h 35 m,5297
108,SpiceJet,SG 534,New Delhi,21:35:00,Bengaluru,"00:10
+ 1 DAY",02 h 35 m,5297
109,SpiceJet,SG 8143,New Delhi,23:55:00,Bengaluru,"02:40
+ 1 DAY",02 h 45 m,5297
